Proporção de pessoas abaixo da linha de pobreza de PPC$6,85
Sigla;Código;Estado;2020;2021;2022;2023;2024;
AC;12;Acre;48,4189218500013;54,2940658235625;51,0469046284823;51,7913919251404;45,5059714649639;
AL;27;Alagoas;53,7611127535727;60,735695847864;54,4418883876398;46,1587721392249;41,3008275342624;
AM;13;Amazonas;51,7703190754768;58,5761202972151;55,37270290622;46,2966898382471;39,3973642767889;
AP;16;Amapá;48,6883351956265;57,2326962457153;47,836213592185;32,8396125114433;36,3975833217424;
BA;29;Bahia;46,6382942329369;56,161984592449;50,7847516491272;46,2544450089787;35,5321166158056;
CE;23;Ceará;47,7841182285916;54,1808818298216;50,5652393852726;48,7257802521186;42,3556465819782;
DF;53;Distrito Federal;17,9020549641517;21,1737807199307;17,1533393724622;15,5968069994997;15,605609753305;
ES;32;Espírito Santo;26,7129990425186;34,4891627749372;26,2814347436691;22,9906298060934;18,6466762958744;
GO;52;Goiás;26,1541761108283;31,1036919785158;22,9182346713436;18,3630697670345;16,0607080389265;
MA;21;Maranhão;57,3821623459519;65,842019178196;56,8191771370842;50,5906061250841;46,2214924043196;
MG;31;Minas Gerais;24,5162848280642;31,5405635310489;27,0372373665545;19,7173987982193;16,7494450005308;
MS;50;Mato Grosso do Sul;23,8611455694526;29,4024031330332;21,2796334519317;19,5461207056196;18,3035760839584;
MT;51;Mato Grosso;24,411089704186;29,0460581686251;22,3116917913702;17,2322630973822;13,1217297436693;
PA;15;Pará;46,640438733994;55,3893496308609;47,0390883664221;39,2829477498454;38,7046986190733;
PB;25;Paraíba;49,2381999375249;55,9386503714449;52,8121457288928;47,4374074279273;38,6970495776171;
PE;26;Pernambuco;49,2201790164774;60,0846807728693;50,8716009846602;48,0933545154162;40,1863307781134;
PI;22;Piauí;47,0286835619269;52,2763328535715;48,2871052426645;45,5192156595699;37,5725295456979;
PR;41;Paraná;20,0708039457262;23,7511165235022;20,1088137035372;17,4568843377564;13,7360837348754;
RJ;33;Rio de Janeiro;25,9928103543445;30,9639644721509;26,5975294586553;20,8745802439884;18,2591216639499;
RN;24;Rio Grande do Norte;41,9820224693853;50,988829420295;44,6258851650052;43,2698506179346;33,6337758437406;
RO;11;Rondônia;28,6715636578698;39,0785757830531;29,492990549539;24,9614936256274;20,9457034828932;
RR;14;Roraima;48,9055984256961;56,8132625088375;45,5387108163913;35,8681486852881;38,7008981135145;
RS;43;Rio Grande do Sul;16,9567381017035;18,7795479567858;16,8473576743105;14,1184487103538;11,1613204502378;
SC;42;Santa Catarina;13,2652037176977;14,7949067580912;12,8908832136542;11,2626665112209;8,07480169568228;
SE;28;Sergipe;44,5076804630324;55,8679826978582;45,6794326876536;43,4673003077542;36,4588973118948;
SP;35;São Paulo;20,2094605808621;23,7676617978916;19,5912017134191;16,5236221308852;13,9391267382272;
TO;17;Tocantins;38,8674597861469;43,6281820917982;33,9660686804301;29,6158419981069;24,4430865550343;
